code_file,Δ_ifs,Δ_loops,Δ_cyclomatic_complexity,Δ_avg_method_size,Δ_method_number
fibonacci.py,-2,-2,-5,14.0,-1
factorial.py,-2,-1,-3,-6.0,-2
calculate_pi.py,-7,0,-12,-6.0,-1
hanoi_towers.py,-5,-1,-14,-25.667,-1
roman_converter.py,-12,0,-21,-7.667,-2
